time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 19:14:25,64.143666667,-21.915833333,21.38,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:45:02,64.143435000,-21.913816667,146.10,2,5,90000295,90000030,7,0207,5-A
2023-11-01 20:13:23,64.136298333,-21.874016667,328.12,2,5,90000046,90000047,6,0207,5-A
2023-11-01 20:13:33,64.136298333,-21.874016667,328.12,2,5,90000046,90000047,6,0207,5-A
2023-11-01 19:14:36,64.143761667,-21.915700000,25.12,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:45:13,64.143421667,-21.913816667,146.10,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:45:23,64.143423333,-21.913816667,146.10,2,5,90000295,90000030,6,0207,5-A
2023-11-01 19:14:46,64.143753333,-21.914833333,116.17,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:45:34,64.143423333,-21.913816667,146.10,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:13:52,64.138576667,-21.878200000,323.40,2,5,90000046,90000047,2,0207,5-A
2023-11-01 20:14:02,64.138583333,-21.878216667,323.40,2,5,90000046,90000047,6,0207,5-A
2023-11-01 20:45:44,64.143425000,-21.913816667,146.10,2,5,90000295,90000030,6,0207,5-A
2023-11-01 19:14:56,64.143360000,-21.913816667,139.20,2,5,90000295,90000030,7,0207,5-A
2023-11-01 20:45:55,64.143198333,-21.913783333,201.16,2,5,90000295,90000030,7,0207,5-A
2023-11-01 20:14:13,64.139098333,-21.879500000,311.76,2,5,90000047,90000048,6,0207,5-A
2023-11-01 19:15:06,64.143358333,-21.913783333,139.20,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:14:23,64.139675000,-21.881150000,303.66,2,5,90000047,90000048,6,0207,5-A
2023-11-01 20:14:34,64.140048333,-21.882783333,293.62,2,5,90000047,90000048,6,0207,5-A
2023-11-01 20:46:05,64.143155000,-21.913800000,191.81,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:46:15,64.143153333,-21.913800000,191.81,2,5,90000295,90000030,6,0207,5-A
2023-11-01 19:15:17,64.143356667,-21.913783333,139.20,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:46:26,64.143125000,-21.913816667,180.40,2,5,90000295,90000030,3,0207,5-A
2023-11-01 20:46:36,64.143046667,-21.913000000,84.88,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:14:44,64.140256667,-21.884200000,281.95,2,5,90000047,90000048,6,0207,5-A
2023-11-01 19:15:27,64.143356667,-21.913783333,139.20,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:14:52,64.140375000,-21.886266667,269.97,2,5,90000047,90000048,6,0207,5-A
2023-11-01 20:15:05,64.140311667,-21.889016667,268.90,2,5,90000047,90000048,6,0207,5-A
2023-11-01 20:46:46,64.143053333,-21.911166667,89.23,2,5,90000295,90000030,6,0207,5-A
2023-11-01 19:15:38,64.143356667,-21.913783333,139.20,2,5,90000295,90000030,6,0207,5-A
2023-11-01 20:46:56,64.143041667,-21.908716667,97.32,2,5,90000295,90000030,6,0207,5-A
